,,,,,,"""ANNEX A""",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DEPARTMENT OF ENERGY,,,,,,,,,,,
"Energy Center, Rizal Drive, Bonifacio Global City, Taguig City",,,,,,,,,,,
"Telefax: (632) 8840-2243,  Email: doe.gemp@gmail.com",,,,,,,,,,,
,,,,,,,,,,,
GOVERNMENT ENERGY MANAGEMENT PROGRAM,,,,,,,,,,,
"Monthly Electricity Consumption Report, 2024",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Acct No. 11900822,,,,,
,,,,,,,,,,,
Agency :,DOST,,,Tel. Nos.:,,,,,,,
,,,,,,,,,,,
Address :,"Brgy. Catbangen, City of San Fernando, La Union",,,Fax Nos.:,,,,,,,
,,,,,,,,,,,
Region:,1,,,,,,,,,,
,,,,,,,,,,,
A,B,C,D,E,F,G,,,,,
Month,"Monthly Consumption
Baseline, 2024",Building Description,Gross  Area       (square meters),"  Air-Conditioned Area
(square meters)",Number of Occupants,"Monthly Consumption, kWh",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,October,,,,,
,,,,,,November,,,,,
January,23355.19,RSTL,560sq.m,,10,3040KW,,,,,
February,"26,322.15",RSTL,560sq.m,,10,3560KW,,,,,
March,"32,024.09",RSTL,560sq.m,,10,4120KW,,,,,
April,"26,525.50",RSTL,560sq.m,,10,3600KW,,,,,
May,"31,803.34",RSTL,560sq.m,,10,4480KW,,,,,
June,"41,168.43",RSTL,560sq.m,,10,5640KW,,,,,
July,"36,032.46",RSTL,560sq.m,,10,4880KW,,,,,
August,"34,476.68",RSTL,560sq.m,,10,4720KW,,,,,
September,"29,497.19",RSTL,560sq.m,,10,3440 KW,,,,,
October,"29,309.17",RSTL,560sq.m,,10,3720KW,,,,,
November,,,,,,,,,,,
December,,,,,,,,,,,
Average,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prepared by:,,,,Noted by:,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EDRUSSELL S. CASTILLO,,,,DECTH-1180 P. LIBUNAO,,,,,,,
Project Technical Assistant I,,,,OIC FOR FAS,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
